,precinct,total,Theft,Others,Accident,Murder,Fraud,Robbery,Public Nuisance,Assault,Arson,Drugs,Missing,Sex Crime,Gun Violence
0,0113,143,12.0,67.0,26.0,1.0,6.0,1.0,16.0,12.0,1.0,1.0,,,
1,0102,71,5.0,39.0,5.0,,2.0,1.0,9.0,10.0,,,,,
2,0105,131,11.0,77.0,12.0,3.0,1.0,3.0,12.0,7.0,2.0,,3.0,,
3,0203,41,4.0,21.0,2.0,,,2.0,10.0,2.0,,,,,
4,0205,36,8.0,19.0,1.0,1.0,,,5.0,1.0,1.0,,,,
5,0204,95,4.0,56.0,3.0,,1.0,2.0,12.0,16.0,,1.0,,,
6,0206,73,5.0,47.0,1.0,1.0,1.0,3.0,7.0,6.0,,1.0,1.0,,
7,0303,163,24.0,76.0,8.0,,2.0,19.0,13.0,17.0,,2.0,2.0,,
8,0304,133,12.0,67.0,8.0,1.0,2.0,6.0,19.0,13.0,1.0,3.0,1.0,,
9,0307,227,32.0,127.0,12.0,1.0,1.0,11.0,14.0,24.0,,1.0,4.0,,
10,0402,811,85.0,307.0,16.0,1.0,15.0,259.0,24.0,89.0,5.0,6.0,4.0,,
11,0401,105,10.0,49.0,2.0,1.0,1.0,19.0,13.0,4.0,1.0,1.0,4.0,,
12,0403,55,5.0,38.0,2.0,,,,4.0,5.0,1.0,,,,
13,0405,108,30.0,52.0,4.0,,3.0,5.0,5.0,8.0,,,1.0,,
14,0406,129,19.0,73.0,5.0,,2.0,8.0,15.0,6.0,,1.0,,,
15,0404,57,7.0,30.0,3.0,1.0,2.0,2.0,4.0,6.0,,2.0,,,
16,0408,238,25.0,136.0,17.0,3.0,7.0,8.0,15.0,24.0,2.0,,1.0,,
17,0409,78,5.0,42.0,13.0,,1.0,2.0,9.0,6.0,,,,,
18,0504,64,7.0,45.0,3.0,,,1.0,4.0,3.0,1.0,,,,
19,0503,380,33.0,185.0,9.0,2.0,4.0,27.0,19.0,38.0,1.0,62.0,,,
20,0501,418,59.0,208.0,18.0,5.0,6.0,19.0,44.0,42.0,3.0,11.0,3.0,,
21,0902,160,18.0,96.0,7.0,,2.0,5.0,15.0,12.0,,5.0,,,
22,0901,139,20.0,71.0,10.0,4.0,,3.0,14.0,15.0,1.0,1.0,,,
23,0502,152,19.0,76.0,7.0,,5.0,11.0,12.0,21.0,1.0,,,,
24,0603,91,7.0,54.0,4.0,1.0,,7.0,7.0,8.0,3.0,,,,
25,0605,98,10.0,55.0,3.0,,,4.0,12.0,14.0,,,,,
26,0606,52,5.0,29.0,3.0,2.0,3.0,1.0,4.0,4.0,,1.0,,,
27,0602,85,6.0,47.0,10.0,1.0,1.0,2.0,8.0,7.0,,1.0,2.0,,
28,0608,39,6.0,20.0,1.0,,3.0,1.0,4.0,3.0,1.0,,,,
29,0702,62,5.0,41.0,2.0,,,,7.0,5.0,2.0,,,,
30,0706,230,29.0,94.0,15.0,2.0,4.0,20.0,23.0,34.0,1.0,6.0,2.0,,
31,0805,202,11.0,108.0,21.0,2.0,3.0,2.0,27.0,15.0,3.0,2.0,6.0,2.0,
32,0803,381,40.0,194.0,26.0,2.0,9.0,19.0,28.0,48.0,1.0,7.0,7.0,,
33,1201,1507,395.0,403.0,58.0,2.0,128.0,25.0,275.0,162.0,2.0,10.0,47.0,,
34,0905,367,29.0,193.0,25.0,4.0,2.0,17.0,35.0,49.0,,13.0,,,
35,1002,103,4.0,58.0,7.0,,3.0,7.0,16.0,7.0,,,1.0,,
36,1001,50,1.0,27.0,4.0,,1.0,2.0,3.0,10.0,,,2.0,,
37,0904,342,29.0,192.0,27.0,3.0,1.0,15.0,33.0,28.0,1.0,6.0,7.0,,
38,0903,283,27.0,155.0,14.0,3.0,4.0,12.0,30.0,30.0,2.0,1.0,5.0,,
39,0804,229,12.0,136.0,19.0,,1.0,6.0,18.0,22.0,,14.0,1.0,,
40,0806,596,54.0,265.0,45.0,2.0,4.0,27.0,49.0,80.0,10.0,52.0,2.0,6.0,
41,0709,143,15.0,62.0,19.0,,,3.0,23.0,15.0,2.0,3.0,,1.0,
42,0710,254,8.0,109.0,28.0,,2.0,47.0,23.0,26.0,2.0,8.0,1.0,,
43,0807,159,10.0,75.0,17.0,1.0,4.0,2.0,24.0,21.0,1.0,2.0,2.0,,
44,1006,106,4.0,60.0,6.0,2.0,2.0,5.0,13.0,8.0,,3.0,3.0,,
45,1003,136,14.0,64.0,10.0,,6.0,17.0,11.0,12.0,1.0,1.0,,,
46,1101,91,3.0,43.0,18.0,,1.0,3.0,12.0,8.0,2.0,,1.0,,
47,1007,211,18.0,127.0,9.0,1.0,,4.0,18.0,28.0,,3.0,3.0,,
48,1209,99,11.0,48.0,13.0,,2.0,2.0,10.0,6.0,,1.0,6.0,,
49,1103,103,4.0,64.0,6.0,1.0,2.0,4.0,11.0,6.0,3.0,1.0,1.0,,
50,1105,291,22.0,180.0,22.0,2.0,4.0,2.0,21.0,34.0,1.0,2.0,1.0,,
51,1106,587,126.0,200.0,21.0,,46.0,7.0,88.0,52.0,3.0,36.0,8.0,,
52,1107,96,4.0,67.0,12.0,1.0,1.0,1.0,2.0,7.0,,1.0,,,
53,1104,210,17.0,114.0,13.0,6.0,3.0,12.0,23.0,16.0,2.0,2.0,2.0,,
54,1206,170,13.0,88.0,15.0,,2.0,13.0,15.0,18.0,1.0,3.0,2.0,,
55,1204,122,17.0,60.0,13.0,1.0,,2.0,17.0,8.0,1.0,2.0,1.0,,
56,1205,110,8.0,59.0,6.0,2.0,,4.0,12.0,16.0,,2.0,1.0,,
57,1301,293,27.0,138.0,32.0,2.0,4.0,12.0,35.0,26.0,4.0,2.0,10.0,1.0,
58,1306,153,11.0,80.0,11.0,,1.0,4.0,18.0,11.0,1.0,1.0,15.0,,
59,1308,80,6.0,45.0,10.0,1.0,,4.0,10.0,3.0,1.0,,,,
60,1304,124,9.0,63.0,11.0,1.0,2.0,2.0,19.0,10.0,1.0,4.0,2.0,,
61,1302,68,4.0,45.0,1.0,,1.0,2.0,4.0,7.0,,1.0,3.0,,
62,1307,74,2.0,48.0,6.0,,,3.0,10.0,4.0,,1.0,,,
63,1309,119,12.0,58.0,8.0,1.0,,12.0,13.0,11.0,2.0,,2.0,,
64,1305,140,9.0,80.0,13.0,1.0,,5.0,14.0,14.0,3.0,,1.0,,
65,1401,520,35.0,248.0,47.0,3.0,4.0,40.0,69.0,61.0,1.0,4.0,8.0,,
66,1406,152,8.0,87.0,26.0,,3.0,6.0,8.0,5.0,2.0,4.0,3.0,,
67,1404,241,17.0,115.0,25.0,,3.0,5.0,29.0,36.0,3.0,3.0,5.0,,
68,1403,257,15.0,133.0,31.0,,6.0,4.0,27.0,29.0,2.0,7.0,3.0,,
69,1503,121,8.0,53.0,11.0,5.0,2.0,4.0,13.0,19.0,3.0,1.0,2.0,,
70,1501,171,7.0,87.0,21.0,1.0,2.0,2.0,17.0,21.0,1.0,6.0,6.0,,
71,1502,167,7.0,84.0,15.0,,2.0,8.0,23.0,22.0,3.0,2.0,1.0,,
72,1504,294,13.0,147.0,25.0,1.0,2.0,11.0,27.0,24.0,2.0,39.0,2.0,,1.0
73,1505,183,7.0,96.0,14.0,,1.0,4.0,33.0,21.0,2.0,3.0,2.0,,
74,1507,75,2.0,38.0,8.0,,4.0,3.0,9.0,3.0,,2.0,6.0,,
75,1508,126,7.0,70.0,10.0,1.0,1.0,7.0,12.0,14.0,1.0,2.0,1.0,,
76,1506,149,8.0,70.0,27.0,,1.0,6.0,23.0,11.0,1.0,1.0,1.0,,
77,1509,117,9.0,50.0,18.0,,1.0,9.0,12.0,16.0,,2.0,,,
78,1009,89,5.0,61.0,5.0,,1.0,1.0,7.0,6.0,,3.0,,,
79,1908,12,,8.0,1.0,,,,2.0,,,,1.0,,
80,1906,73,7.0,42.0,5.0,1.0,1.0,4.0,7.0,5.0,,1.0,,,
81,1901,46,2.0,18.0,7.0,,1.0,,11.0,6.0,,1.0,,,
82,2104,198,17.0,87.0,16.0,,4.0,29.0,16.0,24.0,,5.0,,,
83,2105,126,7.0,59.0,13.0,,1.0,11.0,13.0,20.0,1.0,1.0,,,
84,2107,109,6.0,68.0,4.0,1.0,,3.0,13.0,12.0,,2.0,,,
85,2108,70,3.0,40.0,8.0,,2.0,1.0,10.0,3.0,1.0,2.0,,,
86,2106,99,9.0,47.0,6.0,,,5.0,16.0,13.0,1.0,2.0,,,
87,2110,142,10.0,82.0,9.0,2.0,,4.0,17.0,15.0,3.0,,,,
88,2115,54,7.0,33.0,4.0,,1.0,3.0,2.0,4.0,,,,,
89,2202,151,16.0,84.0,15.0,1.0,1.0,6.0,18.0,6.0,2.0,1.0,,,1.0
90,2203,928,320.0,233.0,30.0,,86.0,18.0,157.0,59.0,,12.0,13.0,,
91,2207,62,5.0,41.0,5.0,,,2.0,5.0,3.0,1.0,,,,
92,2213,35,3.0,24.0,,1.0,,,3.0,3.0,,,1.0,,
93,2204,30,6.0,12.0,7.0,,1.0,1.0,2.0,,1.0,,,,
94,2210,82,11.0,38.0,10.0,1.0,,5.0,11.0,4.0,,1.0,1.0,,
95,1108,98,12.0,52.0,8.0,,2.0,3.0,11.0,10.0,,,,,
96,0705,134,23.0,66.0,8.0,,2.0,4.0,20.0,10.0,1.0,,,,
97,2209,47,5.0,26.0,2.0,,,4.0,8.0,2.0,,,,,
98,2111,67,2.0,45.0,7.0,,,6.0,5.0,1.0,,,1.0,,
99,2113,82,6.0,50.0,4.0,3.0,3.0,2.0,3.0,8.0,1.0,1.0,1.0,,
100,2206,63,4.0,29.0,2.0,2.0,,9.0,9.0,8.0,,,,,
101,2109,203,11.0,127.0,12.0,1.0,1.0,4.0,11.0,31.0,,3.0,2.0,,
102,2101,106,19.0,45.0,7.0,1.0,3.0,5.0,11.0,14.0,,,1.0,,
103,1005,103,8.0,31.0,8.0,3.0,2.0,6.0,30.0,14.0,,,1.0,,
104,0704,87,11.0,49.0,3.0,,,4.0,9.0,8.0,,3.0,,,
105,0708,456,67.0,159.0,46.0,2.0,8.0,55.0,50.0,54.0,1.0,8.0,5.0,1.0,
106,1203,94,7.0,47.0,15.0,1.0,2.0,1.0,8.0,13.0,,,,,
107,1202,245,22.0,129.0,17.0,1.0,5.0,3.0,32.0,31.0,3.0,,2.0,,
108,1102,124,7.0,68.0,13.0,2.0,1.0,3.0,10.0,17.0,1.0,1.0,1.0,,
109,1904,40,7.0,19.0,3.0,1.0,,2.0,3.0,5.0,,,,,
110,1905,137,14.0,68.0,9.0,1.0,3.0,4.0,13.0,22.0,1.0,,2.0,,
111,1903,45,3.0,25.0,4.0,1.0,,5.0,3.0,2.0,1.0,,1.0,,
112,1402,265,7.0,154.0,18.0,4.0,,9.0,33.0,30.0,2.0,3.0,5.0,,
113,1407,158,11.0,89.0,14.0,2.0,4.0,7.0,18.0,7.0,,3.0,3.0,,
114,1409,231,17.0,117.0,33.0,2.0,1.0,5.0,29.0,16.0,2.0,6.0,3.0,,
115,1413,104,3.0,72.0,6.0,,1.0,1.0,14.0,7.0,,,,,
116,1412,131,6.0,75.0,14.0,1.0,,9.0,11.0,12.0,,2.0,1.0,,
117,1410,214,16.0,114.0,10.0,5.0,,15.0,25.0,16.0,2.0,3.0,8.0,,
118,1405,199,12.0,113.0,11.0,1.0,,7.0,22.0,26.0,4.0,1.0,2.0,,
119,1414,1159,231.0,369.0,53.0,1.0,63.0,12.0,207.0,112.0,1.0,62.0,48.0,,
120,1601,1951,459.0,499.0,65.0,1.0,153.0,58.0,417.0,231.0,,20.0,48.0,,
121,1701,224,9.0,116.0,14.0,,5.0,21.0,27.0,18.0,,1.0,13.0,,
122,1702,82,3.0,40.0,4.0,,1.0,2.0,15.0,12.0,1.0,,4.0,,
123,1607,73,6.0,38.0,8.0,1.0,,,14.0,4.0,1.0,,1.0,,
124,1605,121,10.0,64.0,9.0,1.0,1.0,4.0,13.0,17.0,,,2.0,,
125,1603,116,5.0,68.0,6.0,1.0,1.0,6.0,17.0,7.0,2.0,2.0,1.0,,
126,1609,70,2.0,43.0,5.0,,1.0,4.0,10.0,5.0,,,,,
127,1706,159,16.0,74.0,17.0,,2.0,7.0,21.0,13.0,3.0,4.0,2.0,,
128,1709,61,5.0,31.0,7.0,,2.0,1.0,7.0,5.0,,2.0,1.0,,
129,1711,92,3.0,48.0,11.0,,2.0,4.0,11.0,7.0,3.0,2.0,1.0,,
130,1604,92,6.0,51.0,9.0,1.0,2.0,2.0,13.0,8.0,,,,,
131,1606,157,11.0,77.0,12.0,1.0,1.0,2.0,26.0,20.0,2.0,2.0,3.0,,
132,1608,98,6.0,56.0,11.0,,1.0,5.0,8.0,10.0,,,1.0,,
133,1611,145,4.0,81.0,10.0,,1.0,4.0,8.0,32.0,2.0,3.0,,,
134,1705,137,14.0,68.0,15.0,,,3.0,16.0,16.0,1.0,1.0,3.0,,
135,1708,150,7.0,83.0,14.0,,,1.0,19.0,20.0,1.0,3.0,2.0,,
136,1707,89,2.0,47.0,19.0,,,1.0,13.0,6.0,,,1.0,,
137,1710,164,7.0,93.0,18.0,3.0,2.0,4.0,24.0,10.0,1.0,1.0,1.0,,
138,1712,65,2.0,43.0,6.0,1.0,,,8.0,2.0,,2.0,1.0,,
139,1704,78,2.0,41.0,6.0,2.0,5.0,,14.0,2.0,3.0,2.0,1.0,,
140,1802,205,15.0,115.0,17.0,,3.0,10.0,19.0,19.0,1.0,1.0,5.0,,
141,1821,188,19.0,95.0,18.0,4.0,,4.0,22.0,19.0,,4.0,3.0,,
142,1807,191,15.0,74.0,33.0,,2.0,7.0,26.0,25.0,4.0,1.0,4.0,,
143,1808,252,15.0,124.0,24.0,4.0,3.0,17.0,25.0,29.0,3.0,1.0,7.0,,
144,1809,58,3.0,29.0,11.0,2.0,,2.0,4.0,5.0,2.0,,,,
145,1810,83,6.0,42.0,13.0,1.0,1.0,2.0,12.0,4.0,,2.0,,,
146,1811,162,7.0,88.0,12.0,2.0,1.0,12.0,14.0,17.0,1.0,4.0,4.0,,
147,1813,84,4.0,45.0,13.0,3.0,,4.0,11.0,2.0,1.0,,1.0,,
148,1814,82,3.0,33.0,12.0,1.0,2.0,1.0,11.0,14.0,,3.0,2.0,,
149,1822,42,1.0,22.0,3.0,2.0,2.0,2.0,5.0,,4.0,,1.0,,
150,1805,142,10.0,90.0,6.0,5.0,2.0,1.0,11.0,10.0,4.0,3.0,,,
151,1806,88,4.0,49.0,9.0,1.0,,2.0,8.0,10.0,2.0,,3.0,,
152,1815,160,13.0,71.0,15.0,1.0,2.0,6.0,19.0,20.0,2.0,4.0,7.0,,
153,1819,118,9.0,68.0,9.0,4.0,2.0,4.0,9.0,10.0,,1.0,2.0,,
154,1911,96,6.0,55.0,6.0,1.0,2.0,2.0,15.0,5.0,,1.0,3.0,,
155,1913,75,6.0,37.0,4.0,,1.0,11.0,7.0,7.0,,1.0,1.0,,
156,1912,47,4.0,25.0,3.0,1.0,1.0,,5.0,8.0,,,,,
157,2004,22,1.0,12.0,2.0,,,1.0,2.0,3.0,1.0,,,,
158,2009,51,2.0,28.0,8.0,1.0,,1.0,3.0,6.0,1.0,1.0,,,
159,2007,664,125.0,203.0,16.0,3.0,89.0,16.0,118.0,66.0,,15.0,13.0,,
160,2019,16,,13.0,,,2.0,,1.0,,,,,,
161,2006,29,,20.0,5.0,,1.0,,2.0,1.0,,,,,
162,2020,46,2.0,27.0,5.0,1.0,,,6.0,3.0,1.0,,1.0,,
163,2013,13,,8.0,1.0,2.0,,,2.0,,,,,,
164,2016,76,3.0,42.0,6.0,,2.0,2.0,8.0,9.0,2.0,2.0,,,
165,2010,55,7.0,24.0,3.0,2.0,3.0,3.0,1.0,8.0,,3.0,1.0,,
166,2005,105,6.0,48.0,16.0,3.0,2.0,6.0,10.0,10.0,,3.0,1.0,,
167,1703,256,14.0,126.0,25.0,1.0,,3.0,41.0,39.0,1.0,1.0,5.0,,
168,1110,44,4.0,26.0,3.0,,,3.0,4.0,4.0,,,,,
169,1109,25,3.0,14.0,5.0,,,,2.0,1.0,,,,,
170,1902,58,3.0,40.0,3.0,1.0,1.0,,1.0,7.0,,,2.0,,
171,2017,98,2.0,51.0,13.0,,3.0,17.0,6.0,2.0,2.0,,2.0,,
172,2015,73,6.0,37.0,9.0,,1.0,,5.0,8.0,2.0,4.0,1.0,,
173,1910,67,9.0,30.0,11.0,1.0,2.0,2.0,5.0,5.0,,1.0,1.0,,
174,1801,160,8.0,86.0,14.0,4.0,6.0,1.0,7.0,19.0,3.0,,12.0,,
175,1714,105,4.0,45.0,11.0,,,22.0,8.0,14.0,1.0,,,,
176,1804,346,18.0,172.0,47.0,4.0,6.0,24.0,32.0,30.0,3.0,7.0,3.0,,
177,2012,34,3.0,17.0,2.0,,,6.0,2.0,3.0,,,1.0,,
178,2014,34,2.0,23.0,4.0,,,,,3.0,2.0,,,,
179,1820,129,2.0,73.0,8.0,,5.0,5.0,17.0,10.0,3.0,3.0,3.0,,
180,2018,74,5.0,36.0,7.0,1.0,3.0,1.0,11.0,8.0,1.0,,1.0,,
181,2001,33,1.0,23.0,5.0,,1.0,1.0,1.0,,,,1.0,,
182,1207,383,19.0,220.0,41.0,6.0,4.0,5.0,42.0,36.0,2.0,4.0,4.0,,
183,1411,192,15.0,103.0,17.0,3.0,,6.0,17.0,28.0,2.0,1.0,,,
184,1907,117,7.0,60.0,20.0,2.0,1.0,5.0,8.0,8.0,1.0,3.0,2.0,,
185,1803,219,14.0,121.0,20.0,4.0,1.0,7.0,15.0,24.0,2.0,4.0,7.0,,
186,1408,172,7.0,82.0,28.0,3.0,3.0,6.0,19.0,17.0,2.0,2.0,3.0,,
187,1909,22,,15.0,3.0,,,,2.0,1.0,,,1.0,,
188,1208,140,9.0,74.0,12.0,,,,16.0,20.0,2.0,2.0,5.0,,
189,0207,127,13.0,54.0,30.0,,1.0,2.0,19.0,7.0,1.0,,,,
190,0202,421,85.0,146.0,22.0,1.0,19.0,9.0,73.0,45.0,2.0,17.0,2.0,,
191,0306,2153,486.0,768.0,71.0,1.0,94.0,222.0,183.0,270.0,4.0,45.0,9.0,,
192,0302,62,8.0,32.0,4.0,,,2.0,10.0,5.0,1.0,,,,
193,2103,166,19.0,94.0,9.0,,,21.0,8.0,14.0,,1.0,,,
194,2114,44,6.0,23.0,4.0,,1.0,,5.0,5.0,,,,,
195,2201,128,9.0,72.0,22.0,,,5.0,10.0,4.0,3.0,1.0,2.0,,
196,2205,119,10.0,61.0,16.0,1.0,5.0,3.0,14.0,8.0,1.0,,,,
197,2212,182,13.0,70.0,16.0,2.0,3.0,46.0,7.0,15.0,2.0,5.0,3.0,,
198,2211,50,6.0,25.0,5.0,,,2.0,9.0,2.0,1.0,,,,
199,2208,45,2.0,26.0,5.0,,1.0,3.0,2.0,4.0,,,2.0,,
200,2116,89,6.0,56.0,8.0,1.0,1.0,2.0,6.0,5.0,2.0,1.0,1.0,,
201,2112,65,2.0,32.0,4.0,,4.0,8.0,10.0,5.0,,,,,
202,0510,128,26.0,62.0,14.0,,,4.0,12.0,8.0,,,2.0,,
203,2102,77,8.0,43.0,12.0,,1.0,2.0,5.0,6.0,,,,,
204,1310,77,9.0,44.0,1.0,,2.0,3.0,8.0,8.0,1.0,,1.0,,
205,1303,84,6.0,49.0,2.0,,1.0,7.0,7.0,9.0,1.0,1.0,1.0,,
206,1610,129,14.0,72.0,6.0,1.0,3.0,7.0,10.0,14.0,1.0,,1.0,,
207,1713,99,3.0,45.0,21.0,4.0,,6.0,8.0,7.0,1.0,2.0,2.0,,
208,1612,77,2.0,39.0,7.0,1.0,1.0,10.0,5.0,6.0,3.0,2.0,1.0,,
209,1602,197,14.0,98.0,22.0,,4.0,22.0,15.0,19.0,,2.0,1.0,,
210,0604,124,20.0,61.0,5.0,1.0,1.0,11.0,9.0,16.0,,,,,
211,0607,81,7.0,52.0,6.0,,,,11.0,5.0,,,,,
212,0701,50,7.0,30.0,4.0,,,,6.0,3.0,,,,,
213,0609,42,3.0,28.0,2.0,3.0,1.0,,3.0,1.0,1.0,,,,
214,0707,148,19.0,71.0,5.0,,,3.0,17.0,24.0,,8.0,,1.0,
215,0703,73,8.0,36.0,5.0,3.0,1.0,2.0,11.0,7.0,,,,,
216,0308,1412,118.0,617.0,50.0,6.0,24.0,228.0,90.0,164.0,8.0,104.0,3.0,,
217,0801,1353,543.0,334.0,38.0,3.0,85.0,24.0,211.0,89.0,1.0,2.0,23.0,,
218,0601,1242,303.0,370.0,55.0,3.0,59.0,28.0,218.0,115.0,6.0,76.0,9.0,,
219,0305,452,39.0,273.0,20.0,5.0,6.0,24.0,20.0,56.0,,5.0,3.0,1.0,
220,0201,130,15.0,73.0,17.0,,2.0,8.0,11.0,3.0,1.0,,,,
221,0108,130,14.0,73.0,9.0,3.0,,4.0,15.0,12.0,,,,,
222,0103,223,26.0,125.0,10.0,5.0,2.0,10.0,14.0,26.0,2.0,,3.0,,
223,0106,186,15.0,83.0,10.0,2.0,5.0,39.0,11.0,21.0,,,,,
224,0109,90,12.0,46.0,12.0,1.0,2.0,2.0,10.0,4.0,,,1.0,,
225,0107,112,10.0,70.0,8.0,,,4.0,10.0,8.0,,2.0,,,
226,0101,67,6.0,45.0,3.0,,,2.0,7.0,3.0,1.0,,,,
227,0114,91,1.0,54.0,12.0,1.0,1.0,1.0,7.0,9.0,3.0,,2.0,,
228,0112,79,6.0,37.0,14.0,2.0,1.0,5.0,6.0,8.0,,,,,
229,0511,91,15.0,34.0,4.0,,,18.0,15.0,4.0,1.0,,,,
230,0505,54,12.0,23.0,5.0,,1.0,2.0,7.0,4.0,,,,,
231,0110,124,12.0,54.0,19.0,2.0,1.0,1.0,21.0,13.0,1.0,,,,
232,0111,113,7.0,55.0,22.0,1.0,,4.0,15.0,6.0,2.0,1.0,,,
233,1004,118,9.0,54.0,10.0,3.0,3.0,2.0,13.0,19.0,1.0,,4.0,,
234,0802,617,56.0,314.0,32.0,6.0,7.0,26.0,40.0,96.0,3.0,35.0,2.0,,
235,2011,14,2.0,11.0,,,,,1.0,,,,,,
236,2008,30,,17.0,7.0,1.0,,,1.0,3.0,,1.0,,,
237,0410,116,13.0,52.0,19.0,,3.0,3.0,17.0,9.0,,,,,
238,0407,237,31.0,93.0,5.0,1.0,2.0,66.0,6.0,27.0,1.0,1.0,4.0,,
239,1008,132,9.0,71.0,11.0,,4.0,1.0,23.0,11.0,,2.0,,,
240,0301,173,19.0,95.0,9.0,2.0,3.0,8.0,20.0,16.0,,,1.0,,
241,0507,127,15.0,61.0,6.0,2.0,,18.0,14.0,9.0,1.0,,1.0,,
242,0508,132,17.0,61.0,6.0,,1.0,31.0,7.0,8.0,1.0,,,,
243,0506,136,22.0,62.0,12.0,,2.0,19.0,12.0,5.0,1.0,,1.0,,
244,0509,287,53.0,84.0,22.0,,6.0,79.0,23.0,17.0,,2.0,1.0,,
245,1812,76,4.0,53.0,11.0,,,2.0,1.0,3.0,,1.0,1.0,,
246,1823,114,4.0,63.0,1.0,1.0,2.0,5.0,11.0,20.0,1.0,1.0,5.0,,
247,2003,113,10.0,64.0,9.0,1.0,3.0,3.0,6.0,14.0,,1.0,2.0,,
248,1816,96,5.0,76.0,3.0,1.0,,,7.0,4.0,,,,,
249,1817,71,3.0,43.0,3.0,1.0,2.0,5.0,4.0,5.0,,,5.0,,
250,1818,898,190.0,296.0,40.0,3.0,56.0,21.0,148.0,109.0,1.0,4.0,30.0,,
251,0502A,273,29.0,154.0,5.0,2.0,5.0,29.0,18.0,27.0,2.0,1.0,1.0,,
252,0115,0,,,,,,,,,,,,,
253,0104,678,148.0,240.0,18.0,2.0,64.0,13.0,84.0,97.0,1.0,4.0,7.0,,
254,2002,94,11.0,38.0,12.0,1.0,,7.0,12.0,10.0,,2.0,1.0,,
